model,strategy,l,shift_w0,w_input_over_w_cav,analysis_basis_over_w_cav,retained_power,target_overlap_power,p0_modal_weight,p1_modal_weight,leakage_modal_weight,dominant_p
yang_phase_only,same_w0,2,0.08,1.0,1.0,0.9999997745543393,0.48733399974540054,0.48733410961276113,0.15625869811406617,0.5126658903872389,0
yang_phase_only,same_w0,3,0.08,1.0,1.0,0.999999774554339,0.28429968687339635,0.28429975096754145,0.1541659520987712,0.7157002490324585,0
yang_phase_only,same_w0,4,0.08,1.0,1.0,0.999999774554339,0.15932478848740195,0.15932482440649234,0.12302135217397452,0.8406751755935077,0
yang_phase_only,same_w0,5,0.08,1.0,1.0,0.999999774554339,0.08712750472326991,0.08712752436579226,0.08767715441787415,0.9128724756342077,1
yang_phase_only,same_w0,6,0.08,1.0,1.0,0.999999774554339,0.046865585641599275,0.046865596207244585,0.05826519683220284,0.9531344037927554,1
yang_phase_only,same_w0,7,0.08,1.0,1.0,0.999999774554339,0.024909131044977873,0.02490913666063465,0.036926228115599175,0.9750908633393653,2
yang_phase_only,same_w0,8,0.08,1.0,1.0,0.9999997745543399,0.013118392880979636,0.013118395838465038,0.022615987155773135,0.9868816041615349,3
yang_phase_only,same_w0,0,0.16,1.0,1.0,0.9999996378189155,0.974724462106845,0.9747248151337355,0.0001596117747303731,0.025275184866264455,0
yang_phase_only,same_w0,1,0.16,1.0,1.0,0.9999996378189152,0.7365551715654249,0.7365554383318726,0.07622997953881612,0.26344456166812735,0
yang_phase_only,same_w0,2,0.16,1.0,1.0,0.9999996378189152,0.4509511168561833,0.45095128018220704,0.12780118544478114,0.5490487198177929,0
yang_phase_only,same_w0,3,0.16,1.0,1.0,0.9999996378189152,0.2553662569462885,0.25536634943515013,0.12310070425403656,0.7446336505648499,0
yang_phase_only,same_w0,4,0.16,1.0,1.0,0.9999996378189152,0.1388644388249259,0.13886448911901722,0.09552801494421444,0.8611355108809828,0
yang_phase_only,same_w0,5,0.16,1.0,1.0,0.9999996378189152,0.07365641720509253,0.07365644388206333,0.06608957037582433,0.9263435561179367,0
yang_phase_only,same_w0,6,0.16,1.0,1.0,0.9999996378189155,0.03841248327119734,0.03841249718347721,0.042586888745994804,0.9615875028165228,1
yang_phase_only,same_w0,7,0.16,1.0,1.0,0.9999996378189152,0.019785277839218095,0.01978528500507408,0.026150802099179343,0.980214714994926,1
yang_phase_only,same_w0,8,0.16,1.0,1.0,0.9999996378189152,0.010092763507241384,0.010092767162650746,0.01550890970166193,0.9899072328373493,2
yang_phase_only,scaled_w0,0,0.0,1.0,1.0,0.9999998132176445,0.9999996264353239,0.9999998132176445,8.374303738001382e-12,1.867823554713155e-07,0
yang_phase_only,scaled_w0,1,0.0,1.0,0.7071067811865475,0.9999998132176448,0.7853987238577711,0.9308465880160844,9.302472070575533e-12,0.06915341198391556,0
yang_phase_only,scaled_w0,2,0.0,1.0,0.5773502691896258,0.9999998132176448,0.4999969193837322,0.8437501575957582,7.105794673183083e-22,0.15624984240424178,0
yang_phase_only,scaled_w0,3,0.0,1.0,0.5,0.9999998132176445,0.2945187598508971,0.7720779499795993,2.96140870430119e-17,0.22792205002040067,0
yang_phase_only,scaled_w0,4,0.0,1.0,0.4472135954999579,0.9999998132176445,0.16665816746389583,0.7144491503646477,1.4905777432138927e-32,0.28555084963535227,0
yang_phase_only,scaled_w0,5,0.0,1.0,0.4082482904638631,0.9999998132176445,0.09202733805100191,0.6674249594109489,3.729575983751943e-22,0.3325750405890511,0
yang_phase_only,scaled_w0,6,0.0,1.0,0.3779644730092272,0.9999998132176445,0.04998587403802597,0.6283135634028091,1.6648340155134436e-32,0.3716864365971909,0
yang_phase_only,scaled_w0,7,0.0,1.0,0.35355339059327373,0.9999998132176448,0.026828688966478977,0.5952032886778903,1.3657828391163476e-26,0.4047967113221097,0
