family,N,parameter,k_star,lr_exact,lr_asymptotic,relative_error,L_exact_mm
fixed_r_to_half,50,1,0.480000000000,0.996057350657,0.996052158240,0.001316986935,24.901433766
fixed_r_to_half,50,2,0.460000000000,0.984291580564,0.984208632958,0.005280455261,24.607289514
fixed_r_to_half,50,4,0.420000000000,0.938153340022,0.936834531833,0.021323838496,23.453833501
fixed_r_to_half,50,8,0.340000000000,0.767913397489,0.747338127332,0.088653416159,19.197834937
fixed_m,51,1,0.019607843137,0.003789745164,0.003794542253,0.001265807900,0.094743629
fixed_m,51,2,0.039215686275,0.015101531982,0.015178169014,0.005074785206,0.377538300
fixed_m,51,4,0.078431372549,0.059493902857,0.060712676054,0.020485682376,1.487347571
fixed_m,51,8,0.156862745098,0.223817513520,0.242850704218,0.085038880106,5.595437838
fixed_m,52,1,0.019230769231,0.003645562951,0.003650001628,0.001217555892,0.091139074
fixed_m,52,2,0.038461538462,0.014529091287,0.014600006510,0.004880912516,0.363227282
fixed_m,52,4,0.076923076923,0.057271987173,0.058400026042,0.019696171274,1.431799679
fixed_m,52,8,0.153846153846,0.215967626634,0.233600104168,0.081644076977,5.399190666
fixed_r_to_half,52,1,0.480769230769,0.996354437049,0.996349998372,0.001217555892,24.908860926
fixed_r_to_half,52,2,0.461538461538,0.985470908713,0.985399993490,0.004880912516,24.636772718
fixed_r_to_half,52,4,0.423076923077,0.942728012827,0.941599973958,0.019696171274,23.568200321
fixed_r_to_half,52,8,0.346153846154,0.784032373366,0.766399895832,0.081644076977,19.600809334
fixed_m,53,1,0.018867924528,0.003509451993,0.003513565113,0.001172011839,0.087736300
fixed_m,53,2,0.037735849057,0.013988542960,0.014054260450,0.004697951066,0.349713574
fixed_m,53,4,0.075471698113,0.055171454503,0.056217041800,0.018951599287,1.379286363
fixed_m,53,8,0.150943396226,0.208510260443,0.224868167202,0.078451327643,5.212756511
fixed_m,54,1,0.018518518519,0.003380821129,0.003384637998,0.001128976795,0.084520528
fixed_m,54,2,0.037037037037,0.013477564710,0.013538551991,0.004525096465,0.336939118
fixed_m,54,4,0.074074074074,0.053183679838,0.054154207962,0.018248607970,1.329591996
fixed_m,54,8,0.148148148148,0.201420704149,0.216616831848,0.075444715398,5.035517604
fixed_r_to_half,54,1,0.481481481481,0.996619178871,0.996615362002,0.001128976795,24.915479472
fixed_r_to_half,54,2,0.462962962963,0.986522435290,0.986461448009,0.004525096465,24.663060882
fixed_r_to_half,54,4,0.425925925926,0.946816320162,0.945845792038,0.018248607970,23.670408004
fixed_r_to_half,54,8,0.351851851852,0.798579295851,0.783383168152,0.075444715398,19.964482396
fixed_m,55,1,0.018181818182,0.003259132326,0.003262679141,0.001088269753,0.081478308
fixed_m,55,2,0.036363636364,0.012994041529,0.013050716563,0.004361617166,0.324851038
fixed_m,55,4,0.072727272727,0.051300785654,0.052202866254,0.017584147842,1.282519641
fixed_m,55,8,0.145454545455,0.194676060182,0.208811465015,0.072609877246,4.866901505
fixed_m,56,1,0.017857142857,0.003143895053,0.003147195281,0.001049725746,0.078597376
fixed_m,56,2,0.035714285714,0.012536043909,0.012588781124,0.004206846684,0.313401098
fixed_m,56,4,0.071428571429,0.049515566049,0.050355124495,0.016955444794,1.237889151
fixed_m,56,8,0.142857142857,0.188255099071,0.201420497981,0.069933823709,4.706377477
fixed_r_to_half,56,1,0.482142857143,0.996856104947,0.996852804719,0.001049725746,24.921402624
fixed_r_to_half,56,2,0.464285714286,0.987463956091,0.987411218876,0.004206846684,24.686598902
fixed_r_to_half,56,4,0.428571428571,0.950484433951,0.949644875505,0.016955444794,23.762110849
fixed_r_to_half,56,8,0.357142857143,0.811744900929,0.798579502019,0.069933823709,20.293622523
