k,lr,mis_size,mis_set,prefix_size,best_consecutive_block_size,best_consecutive_block,gap_vs_prefix,gap_vs_best_consecutive
0.380555555556,0.865676850810,6,5 8 11 12 14 15,5,5,1-5,1,1
0.383333333333,0.871572412739,6,5 8 11 12 14 15,5,5,1-5,1,1
0.386111111111,0.877354790111,6,5 8 11 12 14 15,5,5,1-5,1,1
0.388888888889,0.883022221559,8,3 4 5 11 12 13 14 15,5,5,1-5,3,3
0.391666666667,0.888572980728,5,11 12 13 14 15,5,5,1-5,0,0
0.394444444444,0.894005376803,5,11 12 13 14 15,5,5,1-5,0,0
0.397222222222,0.899317755024,5,11 12 13 14 15,5,5,1-5,0,0
0.400000000000,0.904508497187,5,11 12 13 14 15,5,5,1-5,0,0
0.402777777778,0.909576022144,5,11 12 13 14 15,5,5,1-5,0,0
0.405555555556,0.914518786278,5,11 12 13 14 15,5,5,1-5,0,0
0.408333333333,0.919335283973,5,11 12 13 14 15,5,5,1-5,0,0
0.411111111111,0.924024048078,8,1 4 5 8 11 12 14 15,5,5,1-5,3,3
0.413888888889,0.928583650351,8,1 4 5 8 11 12 14 15,5,5,1-5,3,3
0.416666666667,0.933012701892,6,7 5 9 11 13 15,5,5,1-5,1,1
0.419444444444,0.937309853570,6,7 5 9 11 13 15,5,5,1-5,1,1
0.422222222222,0.941473796429,7,9 10 11 12 13 14 15,7,7,1-7,0,0
0.425000000000,0.945503262094,7,9 10 11 12 13 14 15,7,7,1-7,0,0
0.427777777778,0.949397023150,7,9 10 11 12 13 14 15,7,7,1-7,0,0
0.430555555556,0.953153893518,7,9 10 11 12 13 14 15,7,7,1-7,0,0
0.433333333333,0.956772728821,7,9 10 11 12 13 14 15,7,7,1-7,0,0
0.436111111111,0.960252426726,8,1 5 3 7 9 11 13 15,7,7,1-7,1,1
0.438888888889,0.963591927283,8,1 5 3 7 9 11 13 15,7,7,1-7,1,1
0.441666666667,0.966790213249,8,1 5 3 7 9 11 13 15,7,7,1-7,1,1
0.444444444444,0.969846310393,9,7 8 9 10 11 12 13 14 15,9,9,1-9,0,0
0.447222222222,0.972759287800,9,7 8 9 10 11 12 13 14 15,9,9,1-9,0,0
0.450000000000,0.975528258148,6,1 2 8 9 14 15,2,2,1-2,4,4
0.452777777778,0.978152377982,6,1 2 8 9 14 15,2,2,1-2,4,4
0.455555555556,0.980630847969,5,7 8 11 14 15,2,2,1-2,3,3
0.458333333333,0.982962913145,6,5 6 9 10 14 15,2,2,1-2,4,4
0.461111111111,0.985147863138,6,5 6 9 10 14 15,2,2,1-2,4,4
0.463888888889,0.987185032393,7,3 4 7 8 11 14 15,2,2,1-2,5,5
0.466666666667,0.989073800367,7,3 4 7 8 11 14 15,2,2,1-2,5,5
0.469444444444,0.990813591724,8,1 2 5 6 9 10 14 15,2,2,1-2,6,6
0.472222222222,0.992403876506,8,1 2 5 6 9 10 14 15,2,2,1-2,6,6
0.475000000000,0.993844170298,6,8 1 2 7 14 15,2,2,1-2,4,4
0.477777777778,0.995134034371,6,8 1 2 7 14 15,2,2,1-2,4,4
0.480555555556,0.996273075821,6,8 1 2 7 14 15,2,2,1-2,4,4
0.483333333333,0.997260947684,4,3 4 14 15,2,2,1-2,2,2
0.486111111111,0.998097349046,4,3 4 14 15,2,2,1-2,2,2
0.488888888889,0.998782025130,4,2 3 14 15,2,2,1-2,2,2
0.491666666667,0.999314767377,3,1 14 15,2,2,1-2,1,1
0.494444444444,0.999695413510,2,14 15,2,2,1-2,0,0
0.497222222222,0.999923847578,2,14 15,2,2,1-2,0,0
