Time_ms,Lambda_aligned,Power_uW,Scan_Direction,Power_smooth_uW,selected_peak_rank,selected_peak_label,is_active_selected_peak
232665,794.9779631024917,2.3398464543783994,Falling,2.336539693302793,0,,0
18912,794.9780149074256,2.3197402190228247,Rising,2.323087689139458,0,,0
232365,794.9780347222161,2.3120498156204867,Falling,2.3087204283168927,0,,0
19212,794.97808652715,2.2919435802649124,Rising,2.295272513230043,0,,0
232065,794.9781063419405,2.284253176862574,Falling,2.2809102501677208,0,,0
19512,794.9781581468744,2.2641469415069997,Rising,2.267468241524874,0,,0
231765,794.9781779616649,2.2564565381046617,Falling,2.2531127935942954,0,,0
19812,794.9782297665988,2.236350302749087,Rising,2.239678508764629,0,,0
231465,794.9782495813893,2.228659899346749,Falling,2.2253316933311353,0,,0
20112,794.9783013863232,2.2085536639911743,Rising,2.2118818700067173,0,,0
231165,794.9783212011137,2.2008632605888367,Falling,2.1975350545707566,0,,0
20412,794.9783730060476,2.1807570252332615,Rising,2.1840852312477086,0,,0
230865,794.978392820838,2.173066621830924,Falling,2.169738415812974,0,,0
20712,794.978444625772,2.1529603864753493,Rising,2.1562885924910082,0,,0
230565,794.9784644405624,2.1452699830730113,Falling,2.141941777057211,0,,0
21012,794.9785162454964,2.125163747717437,Rising,2.128491953736039,0,,0
230265,794.9785360602868,2.1174733443150986,Falling,2.11414513830289,0,,0
21312,794.9785878652208,2.0973671089595243,Rising,2.1006953149822234,0,,0
229965,794.9786076800112,2.0896767055571863,Falling,2.0863484995494357,0,,0
21612,794.9786594849452,2.0695704702016116,Rising,2.0728986762289847,0,,0
229665,794.9786792997355,2.061880066843397,Falling,2.058551860796269,0,,0
21912,794.9787311046696,2.041773831443699,Rising,2.045117575970497,0,,0
229365,794.9787509194599,2.0340834280854847,Falling,2.0307621280404815,0,,0
22212,794.978802724394,2.0139771926857866,Rising,2.017320119401168,0,,0
229065,794.9788225391843,2.006286789327572,Falling,2.0029578563413706,0,,0
22512,794.9788743441184,1.9861805539278738,Rising,1.9895099412535686,0,,0
228765,794.9788941589087,1.9784901505696593,Falling,1.9751426804328776,0,,0
22812,794.9789459638428,1.9583839151699611,Rising,1.9616906762677981,0,,0
228465,794.9789657786331,1.950693511811747,Falling,1.947320235053445,0,,0
23112,794.9790175835672,1.9305872764120489,Rising,1.933865959178318,0,,0
228165,794.9790373983575,1.9228968730538343,Falling,1.9194941549375322,0,,0
23415,794.9790899194888,1.9025126712480254,Rising,1.9060394247235688,0,,0
227865,794.9791090180819,1.8951002342959216,Falling,1.8916680748252397,0,,0
23715,794.9791615392132,1.8747160324901126,Rising,1.8782147076374924,0,,0
227565,794.9791806378063,1.8673035955380093,Falling,1.863845629449139,0,,0
24015,794.9792331589375,1.8469193937763233,Rising,1.8503954426551266,0,,0
227265,794.9792522575307,1.8395069567800966,Falling,1.8360459920390184,0,,0
24315,794.9793047786619,1.819122755018411,Rising,1.822592170509175,0,,0
226965,794.9793238772551,1.8117103180221839,Falling,1.808240902524899,0,,0
24615,794.9793763983863,1.7913261162604983,Rising,1.794787080994551,0,,0
226665,794.9793954969795,1.7839136792642716,Falling,1.7804376303774332,0,,0
24915,794.9794480181107,1.763529477502586,Rising,1.7669874435819064,0,,0
226365,794.9794671167039,1.7561170405063589,Falling,1.7526183653915335,0,,0
25215,794.9795196378351,1.7357328387446733,Rising,1.7391649982012618,0,,0
226065,794.9795387364283,1.7283204017484466,Falling,1.7247936482999033,0,,0
25515,794.9795912575595,1.7079361999867606,Rising,1.7113389180824066,0,,0
225762,794.9796110723499,1.7002457965844227,Falling,1.6969671138415627,0,,0
25815,794.9796628772839,1.6801395612288483,Rising,1.6835128379660178,0,,0
225462,794.9796826920743,1.6724491578265104,Falling,1.66914239675103,0,,0
26115,794.9797344970083,1.6523429224709356,Rising,1.655690392585243,0,,0
225162,794.9797543117987,1.6446525190685977,Falling,1.6413231317614514,0,,0
26415,794.9798061167327,1.624546283713023,Rising,1.6278752166746016,0,,0
224862,794.9798259315231,1.616855880310685,Falling,1.6135129536135056,0,,0
26715,794.9798777364571,1.5967496449551106,Rising,1.6000709449731105,0,,0
224562,794.9798975512475,1.5890592415527727,Falling,1.5857154970422294,0,,0
27015,794.9799493561815,1.568953006197198,Rising,1.5722812122158085,0,,0
224262,794.9799691709719,1.56126260279486,Falling,1.5579343967826604,0,,0
27315,794.9800209759059,1.5411563674392852,Rising,1.5444845734619927,0,,0
223962,794.9800407906963,1.5334659640369472,Falling,1.5301377580292053,0,,0
27615,794.9800925956303,1.513359728681373,Rising,1.5166879347087543,0,,0
